TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.safety.Cleaner,BRANCH,0.6666666666666666,33,22
org.jsoup.safety.Whitelist,BRANCH,0.9151515151515152,165,151
org.jsoup.HttpStatusException,BRANCH,1.0,4,4
org.jsoup.UncheckedIOException,BRANCH,1.0,2,2
org.jsoup.nodes.Element,BRANCH,0.8208469055374593,307,253
org.jsoup.nodes.TextNode,BRANCH,0.9333333333333333,45,42
org.jsoup.nodes.Node,BRANCH,0.9322033898305084,118,110
org.jsoup.nodes.Entities,BRANCH,0.7640449438202247,89,68
org.jsoup.nodes.Document,BRANCH,0.8941176470588236,85,76
org.jsoup.nodes.Comment,BRANCH,1.0,8,8
org.jsoup.nodes.LeafNode,BRANCH,1.0,25,25
org.jsoup.nodes.DocumentType,BRANCH,1.0,26,26
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,15,15
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.BooleanAttribute,BRANCH,1.0,2,2
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.FormElement,BRANCH,0.4375,32,14
org.jsoup.nodes.CDataNode,BRANCH,1.0,5,5
org.jsoup.nodes.Attributes,BRANCH,0.8350515463917526,97,81
org.jsoup.nodes.Attribute,BRANCH,0.9180327868852459,61,56
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.helper.HttpConnection,BRANCH,0.5060975609756098,328,158
org.jsoup.helper.W3CDom,BRANCH,0.9375,32,30
org.jsoup.helper.DataUtil,BRANCH,0.4479166666666667,96,43
org.jsoup.helper.StringUtil,BRANCH,0.978494623655914,93,90
org.jsoup.helper.Validate,BRANCH,1.0,26,26
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.parser.TokenQueue,BRANCH,0.9929078014184397,141,138
org.jsoup.parser.TokeniserState,BRANCH,0.0,830,0
org.jsoup.parser.Token,BRANCH,1.0,89,89
org.jsoup.parser.TreeBuilder,BRANCH,0.8461538461538461,13,11
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0011376564277588168,879,1
org.jsoup.parser.ParseError,BRANCH,1.0,5,5
org.jsoup.parser.CharacterReader,BRANCH,0.9532710280373832,214,204
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.7865612648221344,253,199
org.jsoup.parser.ParseSettings,BRANCH,1.0,7,7
org.jsoup.parser.Tag,BRANCH,0.8676470588235294,68,59
org.jsoup.parser.Parser,BRANCH,1.0,25,25
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.6739130434782609,46,31
org.jsoup.parser.Tokeniser,BRANCH,0.5428571428571428,105,57
org.jsoup.parser.ParseErrorList,BRANCH,1.0,6,6
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.internal.Normalizer,BRANCH,1.0,4,4
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.75,40,30
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.HtmlToPlainText,BRANCH,0.0,43,0
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.Jsoup,BRANCH,0.0,15,0
org.jsoup.select.Elements,BRANCH,0.0,120,0
org.jsoup.select.Evaluator,BRANCH,0.0,197,0
org.jsoup.select.QueryParser,BRANCH,0.673202614379085,153,103
org.jsoup.select.CombiningEvaluator,BRANCH,0.0,23,0
org.jsoup.select.NodeTraversor,BRANCH,0.125,48,6
org.jsoup.select.StructuralEvaluator,BRANCH,0.0,48,0
org.jsoup.select.Selector,BRANCH,0.0,18,0
org.jsoup.select.Collector,BRANCH,0.0,14,0
